iter	Passed	Remaining
183	1975	5539
184	1988	5535
185	1998	5522
186	2008	5510
187	2019	5499
188	2030	5489
189	2040	5477
190	2051	5466
191	2061	5453
192	2072	5444
193	2083	5434
194	2094	5423
195	2106	5417
196	2117	5405
197	2128	5396
198	2141	5391
199	2150	5377
200	2161	5365
201	2171	5353
202	2182	5342
203	2192	5331
204	2203	5320
205	2214	5309
206	2223	5295
207	2232	5281
208	2243	5270
209	2253	5258
210	2264	5247
211	2273	5233
212	2285	5225
213	2295	5212
214	2305	5200
215	2315	5188
216	2327	5179
217	2337	5168
218	2348	5158
219	2359	5149
220	2370	5136
221	2381	5126
222	2391	5115
223	2401	5103
224	2411	5090
225	2421	5078
226	2431	5067
227	2441	5055
228	2452	5044
229	2462	5032
230	2472	5019
231	2482	5008
232	2492	4996
233	2502	4984
234	2513	4973
235	2523	4962
236	2534	4951
237	2546	4942
238	2556	4931
239	2567	4920
240	2577	4909
241	2588	4899
242	2598	4887
243	2609	4876
244	2619	4865
245	2630	4854
246	2642	4846
247	2653	4835
248	2663	4824
249	2674	4814
250	2685	4804
251	2695	4792
252	2705	4780
253	2715	4769
254	2726	4757
255	2735	4744
256	2746	4733
257	2756	4722
258	2767	4711
259	2777	4699
260	2788	4691
261	2799	4679
262	2809	4667
263	2820	4657
264	2831	4647
265	2843	4639
266	2854	4630
267	2865	4619
268	2876	4609
269	2888	4599
270	2897	4587
271	2909	4578
272	2921	4569
273	2932	4559
274	2943	4548
275	2954	4539
276	2965	4529
277	2976	4517
278	2988	4509
279	2998	4497
280	3008	4485
281	3019	4475
282	3030	4465
283	3041	4455
284	3051	4442
285	3061	4431
286	3072	4421
287	3082	4410
288	3093	4399
289	3103	4388
290	3114	4377
291	3123	4364
292	3134	4353
293	3145	4343
294	3155	4332
295	3165	4320
296	3176	4310
297	3188	4301
298	3199	4291
299	3210	4280
300	3221	4269
301	3232	4259
302	3242	4248
303	3253	4237
304	3263	4226
305	3277	4219
306	3288	4209
307	3299	4199
308	3309	4188
309	3319	4176
310	3329	4164
311	3339	4152
312	3348	4140
313	3359	4129
314	3369	4117
315	3379	4106
316	3389	4095
317	3400	4085
318	3411	4074
319	3422	4064
320	3433	4053
321	3443	4041
322	3453	4030
323	3463	4019
324	3473	4008
325	3485	3998
326	3495	3987
327	3508	3978
328	3518	3967
329	3529	3956
330	3539	3945
331	3550	3934
332	3559	3923
333	3571	3913
334	3581	3902
335	3591	3890
336	3602	3880
337	3612	3868
338	3622	3857
339	3634	3848
340	3645	3837
341	3656	3827
342	3667	3817
343	3679	3807
344	3691	3798
345	3702	3788
346	3712	3776
347	3723	3766
348	3733	3755
349	3744	3744
350	3753	3732
351	3763	3720
352	3773	3709
353	3784	3698
354	3794	3687
355	3805	3677
356	3814	3665
357	3824	3653
358	3835	3643
359	3845	3632
360	3856	3621
361	3867	3611
362	3878	3601
363	3888	3589
364	3898	3578
365	3909	3567
366	3919	3556
367	3929	3545
368	3940	3534
369	3950	3523
370	3961	3512
371	3972	3502
372	3984	3492
373	3996	3483
374	4007	3472
375	4020	3464
376	4030	3453
377	4041	3442
378	4052	3432
379	4062	3421
380	4073	3410
381	4083	3399
382	4093	3388
383	4103	3377
384	4114	3366
385	4124	3355
386	4135	3344
387	4146	3333
388	4157	3323
389	4169	3314
390	4179	3303
391	4189	3292
392	4200	3281
393	4212	3271
394	4221	3259
395	4232	3249
396	4243	3238
397	4254	3228
398	4263	3216
399	4274	3205
400	4284	3194
401	4295	3183
402	4305	3173
403	4317	3163
404	4327	3152
405	4338	3141
406	4348	3130
407	4359	3120
408	4370	3109
409	4381	3099
410	4391	3088
411	4401	3077
412	4412	3066
413	4421	3054
414	4431	3043
415	4441	3032
416	4452	3021
417	4463	3011
418	4473	3000
419	4483	2989
420	4492	2977
421	4503	2966
422	4513	2955
423	4524	2945
424	4535	2934
425	4546	2924
426	4557	2914
427	4567	2902
428	4577	2891
429	4587	2880
430	4597	2869
431	4609	2859
432	4621	2849
433	4631	2838
434	4642	2827
435	4652	2817
436	4662	2805
437	4672	2794
438	4682	2783
439	4692	2772
440	4703	2762
441	4712	2750
442	4723	2739
443	4733	2729
444	4743	2718
445	4753	2707
446	4762	2695
447	4773	2685
448	4783	2674
449	4794	2663
450	4805	2652
451	4816	2642
452	4828	2632
453	4838	2621
454	4849	2611
455	4860	2600
456	4871	2590
457	4882	2579
458	4893	2569
459	4903	2558
460	4918	2549
461	4931	2540
462	4940	2529
463	4952	2519
464	4962	2507
465	4972	2497
466	4986	2488
467	4998	2477
468	5008	2467
469	5019	2456
470	5031	2446
471	5040	2434
472	5051	2424
473	5061	2413
474	5072	2402
475	5082	2391
476	5092	2380
477	5102	2369
478	5115	2360
479	5126	2349
480	5136	2338
481	5147	2327
482	5157	2317
483	5168	2306
484	5178	2295
485	5189	2285
486	5200	2274
487	5211	2263
488	5223	2253
489	5233	2243
490	5244	2232
491	5254	2221
492	5264	2210
493	5276	2200
494	5287	2189
495	5297	2178
496	5307	2167
497	5317	2157
498	5328	2146
499	5338	2135
500	5349	2124
501	5360	2114
502	5371	2103
503	5381	2092
504	5392	2082
505	5402	2071
506	5412	2060
507	5422	2049
508	5432	2038
509	5442	2027
510	5453	2016
511	5463	2006
512	5473	1995
513	5484	1984
514	5494	1973
515	5506	1963
516	5517	1953
517	5529	1942
518	5547	1934
519	5559	1924
520	5570	1913
521	5581	1903
522	5591	1892
523	5602	1881
524	5613	1871
525	5623	1860
526	5633	1849
527	5643	1838
528	5654	1827
529	5663	1816
530	5673	1805
531	5684	1794
532	5693	1784
533	5705	1773
534	5716	1763
535	5727	1752
536	5737	1741
537	5747	1730
538	5759	1720
539	5770	1709
540	5780	1698
541	5791	1688
542	5801	1677
543	5811	1666
544	5821	1655
545	5831	1644
546	5843	1634
547	5855	1624
548	5864	1613
549	5874	1602
550	5885	1591
551	5894	1580
552	5904	1569
553	5913	1558
554	5923	1547
555	5932	1536
556	5943	1525
557	5954	1515
558	5965	1504
559	5975	1493
560	5990	1484
561	6001	1473
562	6011	1462
563	6021	1452
564	6034	1441
565	6045	1431
566	6055	1420
567	6066	1409
568	6077	1399
569	6087	1388
570	6097	1377
571	6107	1366
572	6117	1355
573	6128	1345
574	6138	1334
575	6147	1323
576	6157	1312
577	6168	1301
578	6179	1291
579	6190	1280
580	6200	1270
581	6211	1259
582	6222	1248
583	6231	1237
584	6242	1227
585	6252	1216
586	6263	1205
587	6274	1195
588	6285	1184
589	6295	1173
590	6306	1163
591	6316	1152
592	6327	1141
593	6338	1131
594	6349	1120
595	6360	1109
596	6373	1099
597	6385	1089
598	6396	1078
599	6408	1068
600	6423	1058
601	6438	1048
602	6453	1038
603	6466	1027
604	6476	1017
605	6486	1006
606	6501	996
607	6512	985
608	6522	974
609	6532	963
610	6543	953
611	6553	942
612	6564	931
613	6575	920
614	6585	910
615	6596	899
616	6606	888
617	6619	878
618	6628	867
619	6639	856
620	6648	845
621	6658	835
622	6669	824
623	6679	813
624	6690	802
625	6700	792
626	6710	781
627	6721	770
628	6731	759
629	6742	749
630	6752	738
631	6762	727
632	6774	717
633	6784	706
634	6794	695
635	6804	684
636	6814	673
637	6824	663
638	6835	652
639	6844	641
640	6855	631
641	6866	620
642	6878	609
643	6888	598
644	6898	588
645	6909	577
646	6920	566
647	6931	556
648	6941	545
649	6952	534
650	6963	524
651	6973	513
652	6989	503
653	7000	492
654	7011	481
655	7020	470
656	7030	460
657	7040	449
658	7054	438
659	7065	428
660	7076	417
661	7088	406
662	7100	396
663	7110	385
664	7121	374
665	7131	364
666	7141	353
667	7152	342
668	7162	331
669	7173	321
670	7184	310
671	7195	299
672	7206	289
673	7218	278
674	7229	267
675	7241	257
676	7252	246
677	7263	235
678	7276	225
679	7286	214
680	7297	203
681	7309	192
682	7320	182
683	7330	171
684	7340	160
685	7349	149
686	7359	139
687	7369	128
688	7380	117
689	7391	107
690	7402	96
691	7413	85
692	7423	74
693	7435	64
694	7447	53
695	7457	42
696	7469	32
697	7479	21
698	7489	10
699	7500	0
