iter	CrossEntropy
398	0.11246424
399	0.1123068103
400	0.1120397181
401	0.1119514634
402	0.1116133516
403	0.1115432864
404	0.1114565847
405	0.1113473748
406	0.1112472124
407	0.1111704186
408	0.1110036967
409	0.1108229904
410	0.1105891702
411	0.1104341315
412	0.1101236357
413	0.1100334738
414	0.1099076829
415	0.1098050983
416	0.1097063883
417	0.1096060117
418	0.1093985334
419	0.1092564875
420	0.109219602
421	0.1090640682
422	0.108987491
423	0.1087413933
424	0.108721554
425	0.1085488088
426	0.1083966604
427	0.1081783742
428	0.1080563262
429	0.1077816438
430	0.1077445978
431	0.1075350615
432	0.1074505017
433	0.1072361691
434	0.1070948867
435	0.1068867698
436	0.1067562388
437	0.1064384269
438	0.1062614179
439	0.1060301929
440	0.1057551769
441	0.1056787584
442	0.10553045
443	0.1052349969
444	0.1050650897
445	0.1050015767
446	0.1048085935
447	0.1045708708
448	0.104557818
449	0.1043893458
450	0.1042689202
451	0.1042315768
452	0.1041945405
453	0.1039599313
454	0.1039133761
455	0.1038312961
456	0.1037056196
457	0.1035138352
458	0.103316141
459	0.1032763297
460	0.1030378171
461	0.1029946994
462	0.1029736274
463	0.1028368997
464	0.1026566764
465	0.1026393393
466	0.1025334902
467	0.1023708335
468	0.102165934
469	0.1020645728
470	0.1020057991
471	0.1019265271
472	0.101775272
473	0.1016218142
474	0.10144574
475	0.101287482
476	0.1009724208
477	0.1006093652
478	0.1005634695
479	0.1003718766
480	0.1001282773
481	0.1000505944
482	0.09985858081
483	0.09981163399
484	0.09960130689
485	0.09954903796
486	0.09937259125
487	0.09932255668
488	0.09929149669
489	0.0992907329
490	0.09914623499
491	0.09904285376
492	0.09888390547
493	0.09877319694
494	0.09859807017
495	0.09854988968
496	0.09846190142
497	0.09825661167
498	0.09816113763
499	0.09798918367
500	0.09777808177
501	0.097777251
502	0.09765188802
503	0.0976487749
504	0.09746051064
505	0.09732108548
506	0.09708766911
507	0.09693617341
508	0.09672494009
509	0.09672216151
510	0.09664229665
511	0.09645046796
512	0.09632578484
513	0.09628239339
514	0.09610700444
515	0.09609887639
516	0.09599756992
517	0.09599434906
518	0.09583028944
519	0.09567544199
520	0.09553458218
521	0.09537251941
522	0.09505855572
523	0.09487586401
524	0.09484380167
525	0.09465694853
526	0.09459973614
527	0.09451617565
528	0.09423931756
529	0.09422504734
530	0.09411725216
531	0.09406058365
532	0.09405012597
533	0.09398680154
534	0.09388511418
535	0.09375427031
536	0.09372087631
537	0.09361499292
538	0.09360010584
539	0.09343440812
540	0.09337033302
541	0.09332543031
542	0.09322037133
543	0.09305701107
544	0.09300660738
545	0.09282403605
546	0.09276401543
547	0.09271899822
548	0.09245769739
549	0.09232685445
550	0.09217203018
551	0.09207608765
552	0.09193965684
553	0.09181841234
554	0.09171553443
555	0.09163942316
556	0.09152758722
557	0.0914992126
558	0.09133532643
559	0.09119813213
560	0.09107715671
561	0.09099517849
562	0.09080739261
563	0.09071098822
564	0.0904588274
565	0.090406348
566	0.09032976945
567	0.09011349561
568	0.09006614962
569	0.08995887604
570	0.08980544794
571	0.08951164448
572	0.08933497584
573	0.08930886832
574	0.0892628952
575	0.08925211751
576	0.08904775376
577	0.08892622812
578	0.08886682168
579	0.08877235875
580	0.08865299076
581	0.08841495117
582	0.08825322412
583	0.08810501453
584	0.08803440435
585	0.08779192654
586	0.08775250368
587	0.08757691859
588	0.08735961411
589	0.08732870204
590	0.08725858762
591	0.08725440527
592	0.08723692642
593	0.08699247118
594	0.08671723553
595	0.08663822634
596	0.08662158633
597	0.0864787467
598	0.08638132157
599	0.08634807378
